Serial,Date,Subject,Title,Description,Summary
1,15/05/2025,ENGLISH,Wind,"Explanation completed Notebook work - SAQ1,2 and LAQ - 1","English: Wind chapter explanation and notebook work (SAQ1,2, LAQ-1) done."
2,15/05/2025,ARTIFICIAL INTELLIGENCE,AI- Evaluation Plan and Sample Paper for PA1,"Dear learners, PFA is the evaluation plan, sample paper, and answer key for the upcoming AI PA1. Regards, Richa Taneja","AI PA1: Evaluation plan, sample paper, and answer key provided (Richa Taneja)."
3,15/05/2025,BIOLOGY,LAB VISIT,"CW-Onion and cheek cell activity completed. HW-Submit practical file with index in next bio class.","Biology: Onion and cheek cell activity completed in class; practical file submission due next class."
4,15/05/2025,MATHEMATICS,WS OF POLYNOMIALS,"Worksheet of Polynomials was discussed in class. List doubts if any. Prepare PA-1 syllabus for test tomorrow.","Mathematics: Polynomials worksheet discussed; students to list doubts and prepare for PA-1 test."
5,14/05/2025,ENGLISH,ENGLISH PA1 - EVALUATION PLAN,"Dear Students, PFA the EVALUATION PLAN for Grade 9 PA1","English PA1: Evaluation plan for Grade 9 provided."
6,14/05/2025,SOCIAL SCIENCE,Political Science Chapter 1,"Dear Learners, Request you all to read pages 2-7 of chapter 1 today for an active discussion in the class. Thanks and regards, SSC FACILITATOR","Social Science: Students requested to read Political Science Chapter 1 (pages 2-7) for class discussion."
7,14/05/2025,SOCIAL SCIENCE,Political Science Chapter 1,"Dear Learners, Request you all to read pages 2-7 of chapter 1 today for an active discussion in the class. Thanks and regards, SSC FACILITATOR","Social Science: Students requested to read Political Science Chapter 1 (pages 2-7) for class discussion."
8,13/05/2025,MATHEMATICS,Revision Worksheet- Polynomials,"Dear Learners PFA the worksheet and do it in your notebook. Regards","Mathematics: Revision worksheet on Polynomials provided; to be completed in the notebook."
9,12/05/2025,CIRCULAR,Donation Drive Announcement,"Dear Learners, We're excited to launch a Donation Drive from *13th May to 30th May 2025* in support of *Spreading Smiles Gyan Kendra and the Lotus Petal Foundation* . This initiative aims to bring joy and learning to students in under-resourced schools. *We are collecting the following items* : -Educational material -Old textbooks -Work books -Activity books -Story books -Drawing books -Unused notebooks -Stationery items (pens, pencils, erasers, sharpeners, rulers etc.) -Basic art supplies (color pencils, crayons, drawing pads etc.) To make your contributions, kindly drop your donations in the *labeled boxes (Books | Stationery*) placed in both the *C Block foyer and A Block foyer* . Your small contribution can make a big difference in someone's learning journey. Let’s come together as a community to make that difference count. Warm regards, Community Service Committee","Circular: Donation drive for educational materials and stationery (May 13-30, 2025) to support Spreading Smiles Gyan Kendra and Lotus Petal Foundation. Drop donations in labeled boxes."
10,10/05/2025,MATHEMATICS,Revision Worksheet 1 (Number System),"Dear Learners PFA and do the worksheet in your notebook.","Mathematics: Revision worksheet on Number System provided; to be completed in the notebook."
