Serial,Date,Subject,Title,Description,Summary,Question,Answer
1,15/05/2025,ENGLISH,Wind,"Explanation completed Notebook work - SAQ1,2 and LAQ - 1","English: Wind chapter explanation and notebook work (SAQ1,2, LAQ-1) done.",What English work was completed on 15/05/2025?,Wind chapter explanation and notebook work (SAQ1
2,15/05/2025,ARTIFICIAL INTELLIGENCE,AI- Evaluation Plan and Sample Paper for PA1,"Dear learners, PFA is the evaluation plan, sample paper, and answer key for the upcoming AI PA1. Regards, Richa Taneja","AI PA1: Evaluation plan, sample paper, and answer key provided (Richa Taneja).",What materials were provided for the AI PA1 test by Richa Taneja on 15/05/2025?,Evaluation plan
3,15/05/2025,BIOLOGY,LAB VISIT,CW-Onion and cheek cell activity completed. HW-Submit practical file with index in next bio class.,Biology: Onion and cheek cell activity completed in class; practical file submission due next class.,What was done in Biology class on 15/05/2025 and what is the homework?,Onion and cheek cell activity completed in class. Practical file submission is due in the next Biology class.
4,15/05/2025,MATHEMATICS,WS OF POLYNOMIALS,Worksheet of Polynomials was discussed in class. List doubts if any. Prepare PA-1 syllabus for test tomorrow.,Mathematics: Polynomials worksheet discussed; students to list doubts and prepare for PA-1 test.,What was discussed in Mathematics on 15/05/2025 and what should students do?,The worksheet of Polynomials was discussed. Students should list doubts if any and prepare for the PA-1 syllabus test tomorrow.
5,14/05/2025,ENGLISH,ENGLISH PA1 - EVALUATION PLAN,"Dear Students, PFA the EVALUATION PLAN for Grade 9 PA1",English PA1: Evaluation plan for Grade 9 provided.,What was provided for English PA1 for Grade 9 on 14/05/2025?,The Evaluation Plan for Grade 9 PA1 was provided.
6,14/05/2025,SOCIAL SCIENCE,Political Science Chapter 1,"Dear Learners, Request you all to read pages 2-7 of chapter 1 today for an active discussion in the class. Thanks and regards, SSC FACILITATOR",Social Science: Students requested to read Political Science Chapter 1 (pages 2-7) for class discussion.,What reading is required for Social Science Political Science Chapter 1 class on 14/05/2025?,Students are requested to read pages 2-7 of chapter 1 today for an active discussion in the class.
7,14/05/2025,SOCIAL SCIENCE,Political Science Chapter 1,"Dear Learners, Request you all to read pages 2-7 of chapter 1 today for an active discussion in the class. Thanks and regards, SSC FACILITATOR",Social Science: Students requested to read Political Science Chapter 1 (pages 2-7) for class discussion.,What reading is required for Social Science Political Science Chapter 1 class on 14/05/2025?,Students are requested to read pages 2-7 of chapter 1 today for an active discussion in the class.
8,13/05/2025,MATHEMATICS,Revision Worksheet- Polynomials,Dear Learners PFA the worksheet and do it in your notebook. Regards,Mathematics: Revision worksheet on Polynomials provided; to be completed in the notebook.,What was provided for Mathematics on 13/05/2025 and what should students do with it?,A revision worksheet on Polynomials was provided and should be done in your notebook.
9,12/05/2025,CIRCULAR,Donation Drive Announcement,"Dear Learners, We're excited to launch a Donation Drive from *13th May to 30th May 2025* in support of *Spreading Smiles Gyan Kendra and the Lotus Petal Foundation* . This initiative aims to bring joy and learning to students in under-resourced schools. *We are collecting the following items* : -Educational material -Old textbooks -Work books -Activity books -Story books -Drawing books -Unused notebooks -Stationery items (pens, pencils, erasers, sharpeners, rulers etc.) -Basic art supplies (color pencils, crayons, drawing pads etc.) To make your contributions, kindly drop your donations in the *labeled boxes (Books | Stationery*) placed in both the *C Block foyer and A Block foyer* . Your small contribution can make a big difference in someone's learning journey. Let’s come together as a community to make that difference count. Warm regards, Community Service Committee","Circular: Donation drive for educational materials and stationery (May 13-30, 2025) to support Spreading Smiles Gyan Kendra and Lotus Petal Foundation. Drop donations in labeled boxes.",What is the Donation Drive announced in the circular on 12/05/2025 about?,A Donation Drive is being held from May 13th to May 30th
10,10/05/2025,MATHEMATICS,Revision Worksheet 1 (Number System),Dear Learners PFA and do the worksheet in your notebook.,Mathematics: Revision worksheet on Number System provided; to be completed in the notebook.,What was provided for Mathematics on 10/05/2025?,Revision Worksheet 1 (Number System) was provided and should be done in your notebook.
